2022-06-29 11:01:18.850014 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:01:20.857126 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:01:22.338506 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:01:24.345454 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:01:26.360521 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:01:28.366967 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:01:30.454690 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:01:32.462694 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:01:34.427035 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:01:36.433049 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:01:38.450825 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:01:40.455572 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:01:42.465864 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:01:44.475137 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:01:46.487181 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:01:48.495129 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:01:50.508794 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:01:52.515593 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:01:54.524784 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:01:56.534982 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:01:58.556176 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:02:00.564474 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:02:02.581883 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:02:04.590405 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:02:06.602106 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:02:08.610750 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:02:10.620817 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:02:12.629842 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:02:14.645601 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:02:16.650983 Broker : file : b'test1.txt' md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:05:05.911912 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:05:07.916623 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:05:09.688151 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:05:11.696615 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:05:13.716269 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:05:15.728575 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:05:17.753552 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:05:19.761272 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:05:21.758598 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:05:23.765190 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:05:25.778006 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:05:27.785560 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:05:29.795758 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:05:31.802613 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:05:35.823323 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:06:24.753248 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:06:26.760004 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:06:28.089969 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:07:04.246714 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:07:06.253847 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:07:08.263096 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:07:10.272907 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:07:12.282585 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:07:14.288793 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:07:16.304998 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:07:18.310265 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:18:27.680339 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:18:29.687818 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:18:31.701392 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:18:33.710458 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:18:35.724305 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:19:16.153682 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:19:18.158120 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 11:19:19.467435 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:20:46.979720 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:20:48.986238 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 11:20:50.713594 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:20:52.722001 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 11:21:46.609962 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
